input,output,mp,mt,min,max,sum,mean,stddev
ssd,devnull,1,256,21.979,25.782,6143.51,23.9981,1.10998
ssd,devnull,1,256,22.374,26.191,6251.97,24.4218,1.12664
ssd,devnull,1,256,22.287,26.19,6248.89,24.4097,1.14526
ssd,ssd,1,256,39.181,43.065,10562.8,41.2611,1.14873
ssd,ssd,1,256,38.131,41.951,10296,40.2188,1.12225
ssd,ssd,1,256,38.087,41.811,10257.9,40.07,1.08395
ssd,lustre1ost,1,256,49.109,52.863,13085,51.1132,1.09519
ssd,lustre1ost,1,256,49.16,53.066,13125,51.2696,1.13694
ssd,lustre1ost,1,256,49.058,52.886,13089.7,51.1318,1.10471
ssd,lustre16ost,1,256,52.783,56.666,14052,54.8908,1.12252
ssd,lustre16ost,1,256,52.802,56.661,14050.2,54.8835,1.12222
ssd,lustre16ost,1,256,52.689,56.427,13995.2,54.6686,1.10142
lustre1ost,devnull,1,256,22.245,26.103,6227.82,24.3274,1.12045
lustre1ost,devnull,1,256,22.37,26.148,6247.99,24.4062,1.10247
lustre1ost,devnull,1,256,22.132,25.919,6190.19,24.1804,1.10345
lustre1ost,ssd,1,256,38.988,42.806,10508.4,41.0484,1.12774
lustre1ost,ssd,1,256,38.708,42.555,10443.7,40.7958,1.11812
lustre1ost,ssd,1,256,38.796,42.701,10473.2,40.9108,1.11699
lustre1ost,lustre1ost,1,256,49.384,53.158,13155.3,51.3878,1.09075
lustre1ost,lustre1ost,1,256,49.364,53.141,13162,51.4141,1.11751
lustre1ost,lustre1ost,1,256,49.33,53.259,13173.2,51.4579,1.14088
lustre1ost,lustre16ost,1,256,52.45,56.233,13945.9,54.4762,1.09692
lustre1ost,lustre16ost,1,256,52.851,56.67,14058.5,54.9162,1.10712
lustre1ost,lustre16ost,1,256,52.984,56.735,14076.5,54.9862,1.09899
lustre16ost,devnull,1,256,22.292,26.129,6233.45,24.3494,1.11327
lustre16ost,devnull,1,256,22.338,26.146,6239.61,24.3735,1.11042
lustre16ost,devnull,1,256,22.088,25.855,6167.53,24.0919,1.10254
lustre16ost,ssd,1,256,39.129,42.956,10546.7,41.198,1.11593
lustre16ost,ssd,1,256,39.049,42.866,10517.2,41.0828,1.11091
lustre16ost,ssd,1,256,38.562,42.357,10392.2,40.5944,1.10774
lustre16ost,lustre1ost,1,256,49.478,53.334,13195.7,51.5456,1.11368
lustre16ost,lustre1ost,1,256,49.315,53.138,13149,51.3634,1.11768
lustre16ost,lustre1ost,1,256,49.564,53.486,13231.8,51.6865,1.14546
lustre16ost,lustre16ost,1,256,53.104,56.99,14137.9,55.2262,1.13523
lustre16ost,lustre16ost,1,256,52.969,56.771,14076.7,54.987,1.10725
lustre16ost,lustre16ost,1,256,52.996,56.816,14087.2,55.028,1.1165
ssd,devnull,4,64,12.18,12.914,803.887,12.5607,0.216251
ssd,devnull,4,64,12.073,12.793,796.949,12.4523,0.217429
ssd,devnull,4,64,11.688,12.437,773.264,12.0823,0.218936
ssd,ssd,4,64,12.214,12.954,806.013,12.594,0.222023
ssd,ssd,4,64,12.37,13.112,816.26,12.7541,0.221692
ssd,ssd,4,64,12.29,13.04,811.397,12.6781,0.220666
ssd,lustre1ost,4,64,12.799,13.55,843.933,13.1865,0.218584
ssd,lustre1ost,4,64,12.987,13.75,856.685,13.3857,0.22028
ssd,lustre1ost,4,64,12.808,13.553,844.172,13.1902,0.218145
ssd,lustre16ost,4,64,13.108,13.857,864.03,13.5005,0.222613
ssd,lustre16ost,4,64,12.869,13.62,848.391,13.2561,0.223367
ssd,lustre16ost,4,64,13.054,13.789,859.485,13.4295,0.219034
lustre1ost,devnull,4,64,11.898,12.657,786.826,12.2942,0.218606
lustre1ost,devnull,4,64,11.978,12.728,790.999,12.3594,0.217354
lustre1ost,devnull,4,64,11.973,12.721,791.558,12.3681,0.220699
lustre1ost,ssd,4,64,12.54,13.296,827.725,12.9332,0.222174
lustre1ost,ssd,4,64,12.253,12.996,809.313,12.6455,0.217786
lustre1ost,ssd,4,64,12.388,13.137,817.821,12.7785,0.220043
lustre1ost,lustre1ost,4,64,12.672,13.427,836.024,13.0629,0.21999
lustre1ost,lustre1ost,4,64,12.718,13.444,837.725,13.0895,0.218768
lustre1ost,lustre1ost,4,64,12.702,13.444,837.274,13.0824,0.220255
lustre1ost,lustre16ost,4,64,13.264,13.99,872.804,13.6376,0.219212
lustre1ost,lustre16ost,4,64,12.977,13.725,854.909,13.358,0.21465
lustre1ost,lustre16ost,4,64,12.928,13.701,853.041,13.3288,0.218829
lustre16ost,devnull,4,64,12.157,12.9,803.163,12.5494,0.217114
lustre16ost,devnull,4,64,12.081,12.809,797.436,12.4599,0.215233
lustre16ost,devnull,4,64,11.815,12.543,780.174,12.1902,0.218298
lustre16ost,ssd,4,64,12.289,13.013,810.845,12.6695,0.219874
lustre16ost,ssd,4,64,12.196,12.935,804.573,12.5715,0.21887
lustre16ost,ssd,4,64,12.309,13.05,812.942,12.7022,0.218375
lustre16ost,lustre1ost,4,64,12.707,13.45,837.756,13.0899,0.216093
lustre16ost,lustre1ost,4,64,12.895,13.639,850.189,13.2842,0.218285
lustre16ost,lustre1ost,4,64,13.096,13.842,863.573,13.4933,0.219085
lustre16ost,lustre16ost,4,64,12.63,13.372,833.096,13.0171,0.218459
lustre16ost,lustre16ost,4,64,12.966,13.699,853.951,13.343,0.216553
lustre16ost,lustre16ost,4,64,13.283,14.044,875.453,13.679,0.223888
ssd,devnull,8,32,10.928,11.278,355.435,11.1073,0.103882
ssd,devnull,8,32,11.256,11.609,366.04,11.4388,0.105461
ssd,devnull,8,32,10.981,11.321,356.827,11.1508,0.101282
ssd,ssd,8,32,11.215,11.56,364.468,11.3896,0.103251
ssd,ssd,8,32,11.012,11.358,357.864,11.1833,0.103011
ssd,ssd,8,32,11.109,11.455,361.162,11.2863,0.10255
ssd,lustre1ost,8,32,11.294,11.633,366.819,11.4631,0.104465
ssd,lustre1ost,8,32,11.709,12.056,380.218,11.8818,0.10351
ssd,lustre1ost,8,32,11.456,11.79,372.055,11.6267,0.102683
ssd,lustre16ost,8,32,11.611,11.951,377.2,11.7875,0.102242
ssd,lustre16ost,8,32,11.37,11.715,369.56,11.5487,0.102386
ssd,lustre16ost,8,32,11.298,11.638,367.117,11.4724,0.102935
lustre1ost,devnull,8,32,11.02,11.359,358.226,11.1946,0.103363
lustre1ost,devnull,8,32,10.937,11.281,355.52,11.11,0.102671
lustre1ost,devnull,8,32,10.954,11.309,356.416,11.138,0.103865
lustre1ost,ssd,8,32,11.305,11.637,367.071,11.471,0.103016
lustre1ost,ssd,8,32,11.251,11.598,365.714,11.4286,0.103546
lustre1ost,ssd,8,32,11.222,11.564,364.717,11.3974,0.103638
lustre1ost,lustre1ost,8,32,11.362,11.702,369.249,11.539,0.104124
lustre1ost,lustre1ost,8,32,11.398,11.742,370.477,11.5774,0.104177
lustre1ost,lustre1ost,8,32,11.514,11.851,373.983,11.687,0.103781
lustre1ost,lustre16ost,8,32,11.587,11.927,376.251,11.7578,0.10287
lustre1ost,lustre16ost,8,32,11.511,11.848,373.962,11.6863,0.102195
lustre1ost,lustre16ost,8,32,11.729,12.086,381.181,11.9119,0.104394
lustre16ost,devnull,8,32,11.452,11.789,371.989,11.6247,0.103782
lustre16ost,devnull,8,32,11.013,11.35,357.802,11.1813,0.103848
lustre16ost,devnull,8,32,11.274,11.62,366.544,11.4545,0.104842
lustre16ost,ssd,8,32,11.152,11.501,362.472,11.3272,0.105885
lustre16ost,ssd,8,32,11.32,11.66,367.724,11.4914,0.102805
lustre16ost,ssd,8,32,11.33,11.67,368.018,11.5006,0.104765
lustre16ost,lustre1ost,8,32,11.521,11.866,374.271,11.696,0.103148
lustre16ost,lustre1ost,8,32,11.299,11.644,367.229,11.4759,0.10289
lustre16ost,lustre1ost,8,32,11.809,12.158,383.441,11.9825,0.103765
lustre16ost,lustre16ost,8,32,11.643,11.979,378.055,11.8142,0.10336
lustre16ost,lustre16ost,8,32,11.6,11.941,376.859,11.7768,0.104235
lustre16ost,lustre16ost,8,32,11.434,11.778,371.409,11.6065,0.103563
ssd,devnull,12,21,14.015,14.598,1806.8,14.3397,0.15534
ssd,devnull,12,21,14.147,14.67,1816.48,14.4165,0.1129
ssd,devnull,12,21,14.171,14.586,1814.76,14.4028,0.0960866
ssd,ssd,12,21,14.621,15.007,1868.22,14.8272,0.0898726
ssd,ssd,12,21,14.376,14.995,1850.8,14.6889,0.143158
ssd,ssd,12,21,14.545,14.863,1853.12,14.7073,0.0745498
ssd,lustre1ost,12,21,14.839,15.355,1904.93,15.1185,0.127495
ssd,lustre1ost,12,21,14.983,15.407,1915.61,15.2032,0.0945405
ssd,lustre1ost,12,21,14.933,15.482,1915.8,15.2048,0.122423
ssd,lustre16ost,12,21,15.073,15.761,1954.3,15.5104,0.173924
ssd,lustre16ost,12,21,15.491,15.919,1977.61,15.6953,0.101939
ssd,lustre16ost,12,21,15.46,15.872,1977.66,15.6957,0.0896407
lustre1ost,devnull,12,21,14.154,14.659,1818.9,14.4357,0.109329
lustre1ost,devnull,12,21,14.159,14.614,1814.51,14.4009,0.0947821
lustre1ost,devnull,12,21,14.278,14.599,1817.71,14.4263,0.0759535
lustre1ost,ssd,12,21,14.586,15.111,1868.4,14.8286,0.123163
lustre1ost,ssd,12,21,14.743,15.103,1879.03,14.9129,0.0808234
lustre1ost,ssd,12,21,14.586,14.959,1858.3,14.7484,0.0830811
lustre1ost,lustre1ost,12,21,14.926,15.31,1901.96,15.0949,0.0891194
lustre1ost,lustre1ost,12,21,14.596,15.324,1892.34,15.0186,0.170412
lustre1ost,lustre1ost,12,21,14.864,15.396,1909.37,15.1537,0.131348
lustre1ost,lustre16ost,12,21,15.122,15.75,1953.65,15.5052,0.147005
lustre1ost,lustre16ost,12,21,15.162,15.63,1940.45,15.4004,0.110653
lustre1ost,lustre16ost,12,21,15.373,15.863,1969.89,15.634,0.12466
lustre16ost,devnull,12,21,14.341,14.716,1830.44,14.5273,0.0841675
lustre16ost,devnull,12,21,14.222,14.575,1816.05,14.4131,0.0820431
lustre16ost,devnull,12,21,14.082,14.598,1812.62,14.3859,0.126956
lustre16ost,ssd,12,21,14.578,14.988,1863.47,14.7894,0.0930021
lustre16ost,ssd,12,21,14.668,15.098,1875.06,14.8815,0.0983217
lustre16ost,ssd,12,21,14.524,14.921,1852.66,14.7036,0.0900273
lustre16ost,lustre1ost,12,21,14.938,15.396,1909.92,15.1581,0.103187
lustre16ost,lustre1ost,12,21,14.958,15.473,1921,15.2461,0.117424
lustre16ost,lustre1ost,12,21,14.824,15.254,1896.27,15.0498,0.0943022
lustre16ost,lustre16ost,12,21,15.226,15.729,1941.86,15.4115,0.118642
lustre16ost,lustre16ost,12,21,15.347,15.952,1975.78,15.6808,0.138901
lustre16ost,lustre16ost,12,21,15.343,15.764,1962.09,15.5721,0.1015
ssd,devnull,16,16,10.916,11.147,352.93,11.0291,0.0605187
ssd,devnull,16,16,11.07,11.318,358.33,11.1978,0.0667003
ssd,devnull,16,16,11.384,11.724,369.582,11.5494,0.102246
ssd,ssd,16,16,11.34,11.771,369.681,11.5525,0.140933
ssd,ssd,16,16,11.445,11.671,369.793,11.556,0.0609121
ssd,ssd,16,16,11.352,11.69,368.685,11.5214,0.105954
ssd,lustre1ost,16,16,10.856,11.379,355.793,11.1185,0.183898
ssd,lustre1ost,16,16,11.591,11.778,373.929,11.6853,0.0507843
ssd,lustre1ost,16,16,11.376,11.609,367.878,11.4962,0.0608862
ssd,lustre16ost,16,16,11.206,11.642,365.646,11.4264,0.147846
ssd,lustre16ost,16,16,11.313,11.614,367.022,11.4694,0.0878841
ssd,lustre16ost,16,16,11.23,11.439,362.664,11.3333,0.0573737
lustre1ost,devnull,16,16,11.289,11.493,364.55,11.3922,0.053434
lustre1ost,devnull,16,16,11.076,11.544,361.783,11.3057,0.162375
lustre1ost,devnull,16,16,11.186,11.512,363.423,11.357,0.09872
lustre1ost,ssd,16,16,11.261,11.58,365.463,11.4207,0.0949354
lustre1ost,ssd,16,16,11.302,11.679,367.758,11.4924,0.113641
lustre1ost,ssd,16,16,11.306,11.749,368.886,11.5277,0.151657
lustre1ost,lustre1ost,16,16,11.108,11.566,362.857,11.3393,0.156804
lustre1ost,lustre1ost,16,16,11.344,11.625,367.517,11.4849,0.0809442
lustre1ost,lustre1ost,16,16,11.075,11.699,364.452,11.3891,0.237686
lustre1ost,lustre16ost,16,16,11.109,11.503,361.883,11.3088,0.130924
lustre1ost,lustre16ost,16,16,11.076,11.526,361.751,11.3047,0.156046
lustre1ost,lustre16ost,16,16,11.13,11.31,358.952,11.2172,0.0523302
lustre16ost,devnull,16,16,11.231,11.503,363.678,11.3649,0.0770676
lustre16ost,devnull,16,16,11.182,11.45,362.296,11.3217,0.074762
lustre16ost,devnull,16,16,11.232,11.703,366.818,11.4631,0.165651
lustre16ost,ssd,16,16,11.307,11.495,364.861,11.4019,0.0534158
lustre16ost,ssd,16,16,11.437,11.763,371.298,11.6031,0.095724
lustre16ost,ssd,16,16,11.501,11.69,371.08,11.5962,0.0541581
lustre16ost,lustre1ost,16,16,11.273,11.444,363.585,11.362,0.0507375
lustre16ost,lustre1ost,16,16,11.232,11.418,362.35,11.3234,0.0533618
lustre16ost,lustre1ost,16,16,11.445,11.799,371.93,11.6228,0.10667
lustre16ost,lustre16ost,16,16,11.132,11.733,366,11.4375,0.228973
lustre16ost,lustre16ost,16,16,11.428,11.74,370.623,11.582,0.0924863
lustre16ost,lustre16ost,16,16,11.352,11.576,366.988,11.4684,0.0584481
ssd,ssd,32,8,11.307,11.386,90.804,11.3505,0.0282691
ssd,lustre1ost,32,8,11.652,11.729,93.529,11.6911,0.0265138
lustre1ost,ssd,32,8,11.244,11.32,90.307,11.2884,0.0271079
